Название,Жанр,Картинка,Ссылка,Рейтинг
Американская история Х,драма,https://www.kinonews.ru//insimgs/poster/poster6628_3_prev.jpg,https://www.kinonews.ru//movie_25891/american-history-x,8.58
Одержимость,драма,https://www.kinonews.ru//insimgs/poster/poster45988_1_p.jpg,https://www.kinonews.ru//movie_186158/whiplash,8.79
Престиж,детектив,https://www.kinonews.ru//insimgs/poster/poster12039_6_prev.jpg,https://www.kinonews.ru//movie_398/the-prestige,8.81
Могила светлячков,аниме,https://www.kinonews.ru//insimgs/poster/poster47789_2_p.jpg,https://www.kinonews.ru//movie_85885/hotaru-no-haka,8.61
Харакири,боевик,https://www.kinonews.ru//insimgs/2021/poster/poster98579_4_p.jpg,https://www.kinonews.ru//movie_226202/seppuku,9.67
Подозрительные лица,детектив,https://www.kinonews.ru//insimgs/poster/poster5040_2_prev.jpg,https://www.kinonews.ru//movie_3096/the-usual-suspects,8.31
Касабланка,драма,https://www.kinonews.ru//insimgs/poster/poster11305_16_prev.jpg,https://www.kinonews.ru//movie_18815/casablanca,8.87
1+1,драма,https://www.kinonews.ru//insimgs/poster/poster20295_1_p.jpg,https://www.kinonews.ru//movie_97299/intouchables,9.01
"Новый кинотеатр ""Парадизо""",драма,https://www.kinonews.ru//insimgs/poster/poster28320_4_p.jpg,https://www.kinonews.ru//movie_26503/nuovo-cinema-paradiso,9.00
Новые времена,драма,https://www.kinonews.ru//insimgs/poster/poster19215_2_prev.jpg,https://www.kinonews.ru//movie_48938/modern-times,9.00
Окно во двор,детектив,https://www.kinonews.ru//insimgs/poster/poster29356_6_p.jpg,https://www.kinonews.ru//movie_34142/rear-window,8.68
Однажды на Диком Западе,вестерн,https://www.kinonews.ru//insimgs/poster/poster19221_2_prev.jpg,https://www.kinonews.ru//movie_18738/cera-una-volta-il-west,8.48
Чужой,триллер,https://www.kinonews.ru//insimgs/poster/poster4445_2_prev.jpg,https://www.kinonews.ru//movie_1178/alien,8.85
Огни большого города,драма,https://www.kinonews.ru//insimgs/poster/poster24578_7_p.jpg,https://www.kinonews.ru//movie_48939/city-lights,9.00
Джанго освобожденный,вестерн,https://www.kinonews.ru//insimgs/poster/poster25988_1_p.jpg,https://www.kinonews.ru//movie_97613/django-unchained,8.55
Апокалипсис сегодня,военный,https://www.kinonews.ru//insimgs/2019/poster/poster87194_1_p.jpg,https://www.kinonews.ru//movie_489/apocalypse-now,8.84
Помни,детектив,https://www.kinonews.ru//insimgs/poster/poster6695_2_prev.jpg,https://www.kinonews.ru//movie_1884/memento,8.49
ВАЛЛ-И,детский,https://www.kinonews.ru//insimgs/poster/poster5771_26_prev.jpg,https://www.kinonews.ru//movie_59/walle,8.87
12-я неудача,биографический,https://www.kinonews.ru//insimgs/2024/poster/poster124669_2_p.webp,https://www.kinonews.ru//movie_359287/12th-fail,
Индиана Джонс: В поисках утраченного ковчега,боевик,https://www.kinonews.ru//insimgs/poster/poster4421_3_prev.jpg,https://www.kinonews.ru//movie_73/raiders-of-the-lost-ark,8.83
Жизнь других,драма,https://www.kinonews.ru//insimgs/poster/poster48842_1_p.jpg,https://www.kinonews.ru//movie_26349/das-leben-der-anderen,8.66
Сансет бульвар,драма,https://www.kinonews.ru//insimgs/poster/poster16504_4_prev.jpg,https://www.kinonews.ru//movie_63464/sunset-blvd,8.89
Мстители 3: Война бесконечности,боевик,https://www.kinonews.ru//insimgs/2018/poster/poster79362_1_p.jpg,https://www.kinonews.ru//movie_207320/avengers-3-part-i,9.05
Тропы славы,военный,https://www.kinonews.ru//insimgs/poster/poster36296_12_p.jpg,https://www.kinonews.ru//movie_31858/paths-of-glory,8.17
Человек-паук: Через вселенные,боевик,https://www.kinonews.ru//insimgs/2018/poster/poster81595_1_p.jpg,https://www.kinonews.ru//movie_262211/spider-man-into-the-spider-verse,8.10
Свидетель обвинения,детектив,https://www.kinonews.ru//insimgs/poster/poster29266_2_p.jpg,https://www.kinonews.ru//movie_68868/witness-for-the-prosecution,8.57
Сияние,мистика,https://www.kinonews.ru//insimgs/poster/poster22020_1_p.jpg,https://www.kinonews.ru//movie_2682/the-shining,8.58
Великий диктатор,военный,https://www.kinonews.ru//insimgs/poster/poster29909_26_p.jpg,https://www.kinonews.ru//movie_48937/the-great-dictator,8.90
Чужие,боевик,https://www.kinonews.ru//insimgs/poster/poster4449_2_prev.jpg,https://www.kinonews.ru//movie_1023/aliens,9.05
Бесславные ублюдки,боевик,https://www.kinonews.ru//insimgs/poster/poster7355_10_prev.jpg,https://www.kinonews.ru//movie_2888/inglourious-basterds,8.24
Темный рыцарь 2: Возрождение легенды,боевик,https://www.kinonews.ru//insimgs/poster/poster22492_1_p.jpg,https://www.kinonews.ru//movie_66169/the-dark-knight-rises,8.28
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",комедия,https://www.kinonews.ru//insimgs/poster/poster29089_8_p.jpg,https://www.kinonews.ru//movie_35824/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,7.90
Тайна Коко,детектив,https://www.kinonews.ru//insimgs/2017/poster/poster76794_1_p.jpg,https://www.kinonews.ru//movie_218942/coco,8.76
Олдбой,боевик,https://www.kinonews.ru//insimgs/poster/poster41789_3_p.jpg,https://www.kinonews.ru//movie_70145/oldboy,8.49
Красота по-американски,драма,https://www.kinonews.ru//insimgs/poster/poster2200_3_prev.jpg,https://www.kinonews.ru//movie_5138/american-beauty,8.47
Амадей,биографический,https://www.kinonews.ru//insimgs/poster/poster11341_6_prev.jpg,https://www.kinonews.ru//movie_19331/amadeus,8.50
История игрушек,детский,https://www.kinonews.ru//insimgs/poster/poster4506_2_prev.jpg,https://www.kinonews.ru//movie_438/toy-story,8.53
Мстители 4: Финал,боевик,https://www.kinonews.ru//insimgs/2019/poster/poster86183_1_p.jpg,https://www.kinonews.ru//movie_207321/avengers-3-part-ii,8.20
Подводная лодка,боевик,https://www.kinonews.ru//insimgs/poster/poster38293_6_p.jpg,https://www.kinonews.ru//movie_60831/das-boot,8.88
Храброе сердце,биографический,https://www.kinonews.ru//insimgs/poster/poster3590_3_prev.jpg,https://www.kinonews.ru//movie_1384/braveheart,9.08
Умница Уилл Хантинг,драма,https://www.kinonews.ru//insimgs/poster/poster3416_2_prev.jpg,https://www.kinonews.ru//movie_560/good-will-hunting,8.53
Принцесса Мононоке,аниме,https://www.kinonews.ru//insimgs/poster/poster27494_3_p.jpg,https://www.kinonews.ru//movie_6584/mononoke-hime,8.79
Джокер,драма,https://www.kinonews.ru//insimgs/2019/poster/poster88685_1_p.jpg,https://www.kinonews.ru//movie_267107/joker,8.37
Твое имя,аниме,https://www.kinonews.ru//insimgs/2017/poster/poster75215_1_p.jpg,https://www.kinonews.ru//movie_227933/kimi-no-na-wa,8.38
Рай и ад,драма,https://www.kinonews.ru//insimgs/poster/poster28981_2_p.jpg,https://www.kinonews.ru//movie_18838/tengoku-to-jigoku,8.20
Однажды в Америке,драма,https://www.kinonews.ru//insimgs/poster/poster9106_3_prev.jpg,https://www.kinonews.ru//movie_1637/once-upon-a-time-in-america,8.92
Три идиота,драма,https://www.kinonews.ru//insimgs/2016/poster/poster60530_3_p.jpg,https://www.kinonews.ru//movie_133778/3-idiots,9.15
Поющие под дождем,комедия,https://www.kinonews.ru//insimgs/poster/poster29681_3_p.jpg,https://www.kinonews.ru//movie_29972/singin-in-the-rain,8.86
Капернаум,драма,https://www.kinonews.ru//insimgs/2018/poster/poster83995_2_p.jpg,https://www.kinonews.ru//movie_272198/capharnaum,8.00
Иди и смотри,военный,https://www.kinonews.ru//insimgs/2016/poster/poster69815_1_p.jpg,https://www.kinonews.ru//movie_17998/,9.00
Реквием по мечте,драма,https://www.kinonews.ru//insimgs/poster/poster5540_4_prev.jpg,https://www.kinonews.ru//movie_10443/requiem-for-a-dream,8.62
История Игрушек 3: Большой Побег,детский,https://www.kinonews.ru//insimgs/poster/poster9240_3_prev.jpg,https://www.kinonews.ru//movie_465/toy-story-3,8.57
Звездные войны: Эпизод 6 - Возвращение Джедая,боевик,https://www.kinonews.ru//insimgs/2023/poster/poster115251_1_p.jpg,https://www.kinonews.ru//movie_121/star-wars-episode-vi-return-of-the-jedi,8.66
Вечное сияние чистого разума,драма,https://www.kinonews.ru//insimgs/poster/poster2442_6_prev.jpg,https://www.kinonews.ru//movie_1253/eternal-sunshine-of-the-spotless-mind,8.81
Охота,драма,https://www.kinonews.ru//insimgs/poster/poster27366_1_p.jpg,https://www.kinonews.ru//movie_137055/jagten,8.60
2001 год: Космическая одиссея,детектив,https://www.kinonews.ru//insimgs/2018/poster/poster81494_1_p.jpg,https://www.kinonews.ru//movie_35823/2001-a-space-odyssey,8.45
Бешеные псы,драма,https://www.kinonews.ru//insimgs/poster/poster5837_5_prev.jpg,https://www.kinonews.ru//movie_6158/reservoir-dogs,8.63
Жить,драма,https://www.kinonews.ru//insimgs/poster/poster28886_3_p.jpg,https://www.kinonews.ru//movie_18855/ikiru,9.00
Оппенгеймер,биографический,https://www.kinonews.ru//insimgs/2023/poster/poster115934_1_p.webp,https://www.kinonews.ru//movie_323931/oppenheimer,8.30
Лоуренс Аравийский,биографический,https://www.kinonews.ru//insimgs/poster/poster11344_6_prev.jpg,https://www.kinonews.ru//movie_18168/lawrence-of-arabia,8.84
Квартира,драма,https://www.kinonews.ru//insimgs/poster/poster11433_2_prev.jpg,https://www.kinonews.ru//movie_17492/the-apartment,8.17
Пожары,военный,https://www.kinonews.ru//insimgs/poster/poster12383_2_prev.jpg,https://www.kinonews.ru//movie_87956/incendies,7.37
На север через северо-запад,детектив,https://www.kinonews.ru//insimgs/poster/poster20574_2_p.jpg,https://www.kinonews.ru//movie_28412/north-by-northwest,8.05
Гражданин Кейн,детектив,https://www.kinonews.ru//insimgs/poster/poster29741_2_p.jpg,https://www.kinonews.ru//movie_69639/citizen-kane,8.48
