Название,Жанр,Картинка,Ссылка,Рейтинг
Мой сосед Тоторо,аниме,https://www.kinonews.ru//insimgs/poster/poster40699_2_p.jpg,https://www.kinonews.ru//movie_7388/tonari-no-totoro,8.65
Дети небес,драма,https://www.kinonews.ru//insimgs/2017/poster/poster71316_1_p.jpg,https://www.kinonews.ru//movie_29278/bacheha-ye-aseman,8.67
12 лет рабства,биографический,https://www.kinonews.ru//insimgs/poster/poster36144_2_p.jpg,https://www.kinonews.ru//movie_111173/twelve-years-a-slave,8.17
Бен-Гур,боевик,https://www.kinonews.ru//insimgs/poster/poster4968_1_prev.jpg,https://www.kinonews.ru//movie_30316/ben-hur,8.87
Бегущий по лезвию,боевик,https://www.kinonews.ru//insimgs/poster/poster3015_2_prev.jpg,https://www.kinonews.ru//movie_523/blade-runner,8.40
Перед рассветом,драма,https://www.kinonews.ru//insimgs/2015/poster/poster50225_1_p.jpg,https://www.kinonews.ru//movie_25861/before-sunrise,8.33
"Отель ""Гранд Будапешт""",комедия,https://www.kinonews.ru//insimgs/poster/poster39863_3_p.jpg,https://www.kinonews.ru//movie_133362/the-grand-budapest-hotel,8.32
Барри Линдон,военный,https://www.kinonews.ru//insimgs/poster/poster11550_4_prev.jpg,https://www.kinonews.ru//movie_35821/barry-lyndon,8.83
Безумный Макс 4: Дорога ярости,боевик,https://www.kinonews.ru//insimgs/2015/poster/poster51982_2_p.jpg,https://www.kinonews.ru//movie_42241/mad-max-fury-road,8.38
Исчезнувшая,драма,https://www.kinonews.ru//insimgs/poster/poster44018_4_p.jpg,https://www.kinonews.ru//movie_173810/gone-girl,8.34
По соображениям совести,биографический,https://www.kinonews.ru//insimgs/2016/poster/poster68607_1_p.jpg,https://www.kinonews.ru//movie_222324/hacksaw-ridge,8.53
Золотая лихорадка,вестерн,https://www.kinonews.ru//insimgs/poster/poster19179_2_prev.jpg,https://www.kinonews.ru//movie_48942/the-gold-rush,8.33
Общество мертвых поэтов,драма,https://www.kinonews.ru//insimgs/poster/poster28319_1_p.jpg,https://www.kinonews.ru//movie_591/dead-poets-society,8.77
Воспоминания об убийстве,боевик,https://www.kinonews.ru//insimgs/2020/poster/poster93171_1_p.jpg,https://www.kinonews.ru//movie_154855/salinui-chueok,8.60
Во имя отца,биографический,https://www.kinonews.ru//insimgs/poster/poster8825_2_prev.jpg,https://www.kinonews.ru//movie_10774/in-the-name-of-the-father,7.50
Дикие истории,драма,https://www.kinonews.ru//insimgs/2015/poster/poster50209_1_p.jpg,https://www.kinonews.ru//movie_156622/wild-tales,8.29
Охотник на оленей,военный,https://www.kinonews.ru//insimgs/poster/poster11437_3_prev.jpg,https://www.kinonews.ru//movie_1641/the-deer-hunter,8.57
Корпорация монстров,комедия,https://www.kinonews.ru//insimgs/poster/poster4554_2_prev.jpg,https://www.kinonews.ru//movie_3623/monsters-inc,8.80
Паровоз Генерал,боевик,https://www.kinonews.ru//insimgs/poster/poster29815_16_p.jpg,https://www.kinonews.ru//movie_116832/the-general,9.00
В порту,драма,https://www.kinonews.ru//insimgs/poster/poster10320_5_prev.jpg,https://www.kinonews.ru//movie_28593/on-the-waterfront,7.93
Шерлок младший,комедия,https://www.kinonews.ru//insimgs/poster/poster29809_3_p.jpg,https://www.kinonews.ru//movie_116836/sherlock-jr,9.00
Как приручить дракона,детский,https://www.kinonews.ru//insimgs/poster/poster7622_1_prev.jpg,https://www.kinonews.ru//movie_7656/how-to-train-your-dragon,8.76
Челюсти,триллер,https://www.kinonews.ru//insimgs/poster/poster3566_1_prev.jpg,https://www.kinonews.ru//movie_5428/jaws,8.32
Третий человек,детектив,https://www.kinonews.ru//insimgs/poster/poster26089_6_p.jpg,https://www.kinonews.ru//movie_64212/the-third-man,7.25
Плата за страх,драма,https://www.kinonews.ru//insimgs/2016/poster/poster63027_2_p.jpg,https://www.kinonews.ru//movie_207404/le-salaire-de-la-peur,9.00
Мэри и Макс,драма,https://www.kinonews.ru//insimgs/poster/poster4915_2_prev.jpg,https://www.kinonews.ru//movie_10951/mary-and-max,7.73
Земляничная поляна,драма,https://www.kinonews.ru//insimgs/poster/poster15579_1_prev.jpg,https://www.kinonews.ru//movie_43895/wild-strawberries,8.80
Рататуй,детский,https://www.kinonews.ru//insimgs/poster/poster3000_5_prev.jpg,https://www.kinonews.ru//movie_4741/ratatouille,8.55
Мистер Смит едет в Вашингтон,драма,https://www.kinonews.ru//insimgs/poster/poster18505_2_prev.jpg,https://www.kinonews.ru//movie_71776/mr-smith-goes-to-washington,8.50
Ford против Ferrari,биографический,https://www.kinonews.ru//insimgs/2019/poster/poster90267_1_p.jpg,https://www.kinonews.ru//movie_269174/ford-v-ferrari,8.48
Токийская повесть,драма,https://www.kinonews.ru//insimgs/poster/poster35724_1_p.jpg,https://www.kinonews.ru//movie_165200/tokyo-monogatari,8.50
Большой Лебовски,комедия,https://www.kinonews.ru//insimgs/poster/poster25549_1_p.jpg,https://www.kinonews.ru//movie_6680/the-big-lebowski,8.50
Комната,драма,https://www.kinonews.ru//insimgs/2020/poster/poster94246_1_p.jpg,https://www.kinonews.ru//movie_213307/room,8.20
Рокки,боевик,https://www.kinonews.ru//insimgs/poster/poster8336_6_prev.jpg,https://www.kinonews.ru//movie_2440/rocky,8.74
Седьмая печать,драма,https://www.kinonews.ru//insimgs/poster/poster28130_1_p.jpg,https://www.kinonews.ru//movie_43898/det-sjunde-inseglet,8.58
Логан,боевик,https://www.kinonews.ru//insimgs/2017/poster/poster70814_1_p.jpg,https://www.kinonews.ru//movie_200859/untitled-wolverine-sequel,8.51
В центре внимания,биографический,https://www.kinonews.ru//insimgs/2016/poster/poster59910_1_p.jpg,https://www.kinonews.ru//movie_214403/spotlight,8.07
"Отель ""Руанда""",военный,https://www.kinonews.ru//insimgs/poster/poster28026_4_p.jpg,https://www.kinonews.ru//movie_4243/hotel-rwanda,7.50
Терминатор,боевик,https://www.kinonews.ru//insimgs/poster/poster2673_2_prev.jpg,https://www.kinonews.ru//movie_196/the-terminator,8.99
Взвод,боевик,https://www.kinonews.ru//insimgs/poster/poster3312_4_prev.jpg,https://www.kinonews.ru//movie_811/platoon,8.84
Ненависть,драма,https://www.kinonews.ru//insimgs/poster/poster15907_2_prev.jpg,https://www.kinonews.ru//movie_36950/la-haine,7.57
Страсти Жанны д`Арк,биографический,https://www.kinonews.ru//insimgs/poster/poster35723_1_p.jpg,https://www.kinonews.ru//movie_165199/la-passion-de-jeanne-darc,8.50
Перед закатом,драма,https://www.kinonews.ru//insimgs/poster/poster28027_1_p.jpg,https://www.kinonews.ru//movie_25858/before-sunset,8.00
Лучшие годы нашей жизни,военный,https://www.kinonews.ru//insimgs/poster/poster10836_3_prev.jpg,https://www.kinonews.ru//movie_30324/the-best-years-of-our-lives,8.33
Пираты Карибского моря: Проклятие Черной жемчужины,боевик,https://www.kinonews.ru//insimgs/poster/poster3031_17_prev.jpg,https://www.kinonews.ru//movie_91/pirates-of-the-caribbean-the-curse-of-the-black-pearl,9.07
Изгоняющий дьявола,драма,https://www.kinonews.ru//insimgs/poster/poster3324_2_prev.jpg,https://www.kinonews.ru//movie_4683/the-exorcist,8.43
Да прольется свет,детектив,https://www.kinonews.ru//insimgs/2024/poster/poster124674_4_p.webp,https://www.kinonews.ru//movie_334824/jai-bhim,7.00
Гонка,биографический,https://www.kinonews.ru//insimgs/poster/poster34778_1_p.jpg,https://www.kinonews.ru//movie_101060/rush,8.44
Телесеть,драма,https://www.kinonews.ru//insimgs/poster/poster11444_4_prev.jpg,https://www.kinonews.ru//movie_3511/network,7.89
Волшебник страны Оз,приключения,https://www.kinonews.ru//insimgs/poster/poster29133_6_p.jpg,https://www.kinonews.ru//movie_41270/the-wizard-of-oz,7.38
Останься со мной,драма,https://www.kinonews.ru//insimgs/poster/poster24300_2_p.jpg,https://www.kinonews.ru//movie_22496/stand-by-me,7.69
Суперсемейка,боевик,https://www.kinonews.ru//insimgs/poster/poster6171_8_prev.jpg,https://www.kinonews.ru//movie_902/the-incredibles,8.53
Хатико: Самый верный друг,драма,https://www.kinonews.ru//insimgs/poster/poster4874_3_prev.jpg,https://www.kinonews.ru//movie_24710/hachi,8.73
Мой отец и мой сын,драма,https://www.kinonews.ru//insimgs/2024/poster/poster124668_1_p.webp,https://www.kinonews.ru//movie_359286/babam-ve-oglum,6.00
Служанка,драма,https://www.kinonews.ru//insimgs/2016/poster/poster65699_2_p.jpg,https://www.kinonews.ru//movie_231249/ah-ga-ssi,7.57
Звуки музыки,биографический,https://www.kinonews.ru//insimgs/poster/poster10312_2_prev.jpg,https://www.kinonews.ru//movie_25072/the-sound-of-music,9.06
В диких условиях,биографический,https://www.kinonews.ru//insimgs/poster/poster3155_7_prev.jpg,https://www.kinonews.ru//movie_5623/into-the-wild,8.32
Быть или не быть,военный,https://www.kinonews.ru//insimgs/poster/poster34523_4_p.jpg,https://www.kinonews.ru//movie_73164/to-be-or-not-to-be,10.00
Битва за Алжир,военный,https://www.kinonews.ru//insimgs/poster/poster29108_1_p.jpg,https://www.kinonews.ru//movie_26760/the-battle-of-algiers,7.60
Гроздья гнева,комедия,https://www.kinonews.ru//insimgs/poster/poster32356_2_p.jpg,https://www.kinonews.ru//movie_18795/the-grapes-of-wrath,8.25
День сурка,драма,https://www.kinonews.ru//insimgs/poster/poster3037_1_prev.jpg,https://www.kinonews.ru//movie_3769/groundhog-day,9.00
Сука любовь,драма,https://www.kinonews.ru//insimgs/poster/poster28010_2_p.jpg,https://www.kinonews.ru//movie_13681/amores-perros,8.10
Стальной гигант,детектив,https://www.kinonews.ru//insimgs/2015/poster/poster55839_1_p.jpg,https://www.kinonews.ru//movie_2840/the-iron-giant,8.74
Ребекка,драма,https://www.kinonews.ru//insimgs/poster/poster20645_3_p.jpg,https://www.kinonews.ru//movie_34156/rebecca,8.47
Хладнокровный Люк,драма,https://www.kinonews.ru//insimgs/poster/poster24486_5_p.jpg,https://www.kinonews.ru//movie_10692/cool-hand-luke,8.00
Прислуга,комедия,https://www.kinonews.ru//insimgs/poster/poster15019_2_prev.jpg,https://www.kinonews.ru//movie_94186/the-help,8.31
Это случилось однажды ночью,детектив,https://www.kinonews.ru//insimgs/poster/poster11165_6_prev.jpg,https://www.kinonews.ru//movie_76213/it-happened-one-night,8.56
Видимость,вестерн,https://www.kinonews.ru//insimgs/2024/poster/poster124678_2_p.webp,https://www.kinonews.ru//movie_334739/drishyam,7.00
Танцующий с волками,комедия,https://www.kinonews.ru//insimgs/poster/poster3793_2_prev.jpg,https://www.kinonews.ru//movie_3736/dances-with-wolves,8.57
Аладдин,боевик,https://www.kinonews.ru//insimgs/poster/poster3721_3_prev.jpg,https://www.kinonews.ru//movie_580/aladdin,8.66
